Project Name,Project Type,URL to project,Founded year (project),Industries,Usecases,5 word review,Description (from online)
Skale,Startup,,,Infrastructure,"Scaling Solution,Blockchain Development Services",Ethereum Interoperable Elastic Blockchain Network,"The Blockchain Network of the Future. Blockchains should not be difficult or expensive to use. SKALE is the first interoperable blockchain network fully optimized for Web3 user experience and security.

The SKALE Network is a high-throughput, low-latency, configurable byzantine fault tolerant, elastic blockchain network built interoperably with Ethereum. The initial and primary use case for this network will be in form of elastic sidechains for the Ethereum Blockchain. In this context it can be described as an ‘Elastic Sidechain Network’.
Sidechains in the network are operated by a group of virtualized subnodes selected from a subset of nodes in the network and are run on all or a subset (multitenancy) of each node’s computation and storage resources. Each sidechain is highly configurable, with consumers being able to choose their chain’s size, consensus protocol, virtual machine, parent blockchain, and additional security measures (e.g.virtualized subnode shuffling frequency)."
Nike .swoosh,Corporate,,,Retail & E-Commerce,"Collectables,NFTs",,"From FAQ - Nike virtual creations include sneakers, apparel, accessories and other collectibles you can wear in games or other immersive experiences. Some Nike virtual creations will also unlock benefits for you in the physical world, like access to IRL products and exclusive events. - .SWOOSH uses the Polygon blockchain to secure your Nike virtual creations. We chose Polygon for its sustainability-minded approach to its environmental impact and Polygon’s pledge to become a carbon neutral chain in 2022."
Propy,Startup,,,Real Estate,Asset Tokenization,Automating real estate onchain,"Buy and sell homes - faster, easier and more securely. Propy was built with the vision to automate the real estate sales process. The Palo Alto-based company is writing new pages in real estate history by introducing the technology to allow entirely online and self-driving real estate transactions on smart contracts."
GET Protocol,Startup,,,Retail & E-Commerce,Ticketing,NFT powered ticketing,"A complete ticketing solution for the modern web
From selling to scanning, tens of thousands of events have trusted GET Protocol's ticketing solutions to deliver memorable experiences - manage your event lifecycle, issue tickets, and seamlessly validate them at your venue."
Swiat,Startup,,,Capital Markets,"Asset Tokenization,Securities,Tokenized bonds",Open decentralised financial market infrastructure,"SWIAT’s vision of creating a decentralized and interoperable financial infrastructure is backed by our technology. The SWIAT blockchain: - A regulatory compliant Layer 1 solution for the finance industry 
- Strong support for privacy and confidentiality - Scalable governance framework fostering collaborative competition (co-opetition) - A technical framework enabling faster deployment of your use cases  - Integrated identity management- Powered by Enterprise Ethereum "
Trade Trust,Startup,,,Trade Finance,"Verifiable Credentials,Data Sharing",Digital Document Verification Platform,"TradeTrust offers a framework for digital document verification, facilitating trustworthy and efficient cross-border trade. By leveraging blockchain technology, it ensures the authenticity and integrity of digital documents, thus simplifying trade processes and enhancing trust among trading partners."
arbol,Startup,,,Insurance,"Insurance Claims,Oracles",Weather Risk Management Platform,"Arbol provides sophisticated weather risk management solutions leveraging smart contracts and cutting-edge data science. It offers parametric insurance products ensuring financial resilience against adverse weather events, aiding businesses in mitigating weather-related financial risks."
Adidas Web3 Studio,Corporate,https://www.adidas.com/metaverse,2021,Arts,NFTs,NFT's from Adidas,"Introducing Adidas Virtual Gear: the first collection of digital apparel from Adidas. Designed for new realities, the Genesis Collection showcases an evolution of Adidas' signature styles reimagined for virtual worlds and the metaverse."
iCapital,Corporate,https://icapital.com/newsroom/press-releases/icapital-leads-industry-consortium-to-develop-distributed-ledger-based-enhancements-for-the-alternative-investment-ecosystem/,,,,,"RE: 
Can't find ETH / Blockchain
"
Nuggets,Startup,https://nuggets.life,,"Identity Management & Verification,Payments","Authentication,Payments,Identity & Credentials",Decentralized identity and payment solutions.,"Nuggets helps individuals and businesses achieve secure and private transactions, along with compliance and identity management."
Mantle,Startup,,2022,Infrastructure,Scaling Solution,Scaling Ethereum through modular architecture,"Mantle helps developers and users achieve efficient, low-fee transactions and smart contract deployments on Ethereum, ensuring reduced gas fees and improved throughput"
EU Blockchain Observatory and Forum,,,,,,,
Horizon 2020,,,,,,,
Equideum,Startup,,2022,HealthTech,Healthcare Data,Decentralizing data-driven healthcare [2],"Equideum Health creates next-gen person-centered healthcare and research networks to advance health equity and outcomes by optimizing data liquidity across enterprise and individual data silos, powered by Ethereum. [2]"
Siemens,Corporate,,2023,Capital Markets,"Asset Tokenization,Tokenized bonds",Issued a digital bond on a public blockchain,"Siemens issued a 60 million euro ($64 million) bond on the Polygon blockchain, which will mature in a year. However, the interest rate was not disclosed by the company"
XinFin Network,SME,,2017,Infrastructure,Supply Chain Finance,Trade modernization through hybrid blockchain.,"The XinFin Network, also known as the XDC Network, is a unique blockchain platform designed to modernize the global trade and finance sector through a decentralized infrastructure solution. It employs a Delegated Proof of Stake Consensus network (XDPoS) mechanism, which facilitates Hybrid Relay Bridges, Instant Block Finality, and interoperability with ISO20022 messaging standards, making its hybrid architecture developer-friendly​"
Xage Security,,,,,digitizing and securing the workflows for aircraft maintenance operations.,,"Secure, manage & transform OT, IT and cloud operations. Deliver zero-trust local access, remote access, and data security."
ABN AMRO,Corporate,,2023,Capital Markets,"Tokenized bonds,Asset Tokenization","Green bonds on chain
","ABN AMRO, in collaboration with Tokeny, has made history as the first Dutch bank to tokenize a green bond on a public blockchain. Employing the market-standard ERC3643"
CO:CREATE,Startup,,,Retail & E-Commerce,Loyalty,Web3 platform for community engagement,"Co:Create helps brands and developers achieve robust community engagement and management through a gamified, self-owned reward system, offering a seamless experience in deploying and managing tokens on the Polygon blockchain"
4EVERLAND,Startup,,,Infrastructure,"Cloud Computing,Cloud Services",Web 3.0 cloud computing platform,"4EVERLAND helps developers and users achieve smooth transition to Web 3.0 and efficient DApp building, offering decentralized storage, computing, and networking solutions"
CARV,Startup,,2022,"Infrastructure,Gaming",Soul Bound Tokens,ID infrastructure focused on gaming,"CARV is building ID infrastructure focused on gaming, enabling players with achievement display, semantic social, and access to gaming premiums."
"Gnosis
",Startup,,,Infrastructure,Scaling Solution,"Ethereum sidechain, community governance emphasis","Gnosis helps developers and users achieve low gas fees and trust minimized bridges to mainnet, providing a platform for user-friendly wallets and community governance"
SAFE,Startup,,,"Custody,Cybersecurity","Wallet,Asset Management,Payments",Ethereum smart wallet infrastructure,Safe helps developers and users secure and manage their digital assets through its advanced smart wallet infrastructure and platform
Centrifuge,Startup,,,DeFi,"RWAs,Financing & Credit,Asset Tokenization",The institutional platform for onchain credit.,Centrifuge is the institutional platform for onchain credit.
API3,Startup,,,Data & Analytics,"Oracles,Cross-chain,Exchanges & Trading",Decentralized delivery of traditional API services to smart contract platforms.,"API3 is a collaborative project to deliver traditional API services to smart contract platforms in a decentralized and trust-minimized way. It is governed by a decentralized autonomous organization (DAO), namely the API3 DAO.

The goal of API3 is to provide developers with an easy way to access off-chain resources from within their smart contracts, without having to worry about the security and trust implications of doing so."
Transak,Startup,,,Payments,"Payments,Fiat-Crypto On-Off Ramp",one-click fiat to protocol onboarding,"Transak is a developer integration toolkit that enables you as an app developer to onboard your users to buy/sell crypto in any blockchain app, website or web plugin.

👉 With Transak you can onboard mainstream users into your dApp, protocol, game or wallet app and also increase your revenue. We handle all of the KYC, regulation & compliance, fiat payment methods, and crypto coverage.

👉 Whether you're just starting your project or a large established firm looking for a fiat on-ramp or off-ramp, integrating and customising Transak is an easy process. The simplest technical integrations can be done in just 5 minutes."
Ondo,Startup,,,Capital Markets,"Asset Tokenization,Securities",Tokenized U.S. Treasuries & RWAs on public Ethereum,"Ondo Finance helps users originate risk-isolated, fixed-yield loans backed by crypto-assets, offering a bridge between decentralized finance (DeFi) and traditional finance (TradFi) with institutional-grade products​"
Particle Network,Startup,,,Infrastructure,,"Reduce time-to-market for Web3 dApps, 99.99% uptime","Not really business related. Could go into tooling
"
"Linea
",Startup,,,Infrastructure,Scaling Solution,L-2 zkEVM Ethereum scaling solution,A developer-ready zkEVM rollup for scaling Ethereum dapps
Polymesh,Startup,,2021,Capital Markets,"Securities,Asset Tokenization",Blockchain for regulated asset innovation,"Polymesh helps financial institutions streamline antiquated processes and create new financial instruments by addressing challenges surrounding governance, identity, compliance, confidentiality, and settlement"
"INX
",Startup,,2018,"Capital Markets,Trading","Securities,Asset Tokenization,Exchanges & Trading,Marketplace",Regulated platform for digital trading,"INX is an ethereum based ERC1404 compliant token that is programmed using a smart contract
INX smart contract address:0xbbc7f7a6aadac103769c66cbc69ab720f7f9eae3

""our own INX Token became the world’s first SEC-Registered Digital Security IPO issued on the Blockchain."""
Mystiko.Network,Startup,mystiko.network,,Infrastructure,Scaling Solution,Web3 ZKP Scaling & Privacy solution,"Not really business related? 
""The First Auditable Web3 Zero-Knowledge Connectivity And Privacy Base Layer""
"
CACHE,Startup,,2020,Custody,"Asset Tokenization,RWAs",Fully transparent gold-backed tokens.,CACHE combines Web3 technologies with years of experience in testing and storage of precious metals and other alternative assets. CACHE provides unparalleled infrastructure to digitalize physical assets.
RedSwan CRE,Corporate,,,Real Estate,Asset Tokenization,Tokenized real estate investment marketplace,RedSwan CRE helps investors access tokenized real estate investment opportunities and achieve diversified portfolio exposure
TASSETS,Corporate,,,Infrastructure,"Asset Tokenization,Funding,BaaS",White-label blockchain and AI-based tangible asset tokenization.,Fast & Secure End-to-End Technology Platform for Asset Tokenization as a Service (ATaaS)
AllStars Trader,,,,Sports,Asset Tokenization,,
"Bonfire Capital
",Startup,,2022,Real Estate,"Asset Tokenization,Asset Management","Investment access to Real Estate
",Bonfire Capital helps investors access to real estate investments and offers comprehensive management
Brixie,,,,Real Estate,Asset Tokenization,,
Endx,,,,Sports,Asset Tokenization,,
MVGX,Startup,,2018,Carbon Credits & ESG,Asset Tokenization,FinTech in Carbon Services,MVGX helps businesses and individuals facilitate the cross-border trading of carbon voluntary emission reduction credits without triggering national ownership issues.
Realiz,,,2019,Real Estate,Asset Tokenization,,
Nori,Startup,,2017,Carbon Credits & ESG,"Asset Tokenization,Marketplace",Carbon removal marketplace platform,Nori helps businesses and individuals achieve verifiable carbon removal and climate impact through transparently-tracked carbon removals.
MintCarbon,Startup,,,Carbon Credits & ESG,Asset Tokenization,Carbon credits turned into NFTs,"MintCarbon helps carbon credit holders tokenize their credits on blockchain for enhanced distribution, transparency, and trade facilitation."
Diplomasafe,,,,Identity Management & Verification,"Asset Tokenization,Verifiable Credentials",,
Crypto Stamp,,,,Supply Chain & Logistics,"Asset Tokenization,Supply chain,Record Keeping",,
Citopia,Consortium,,2021,Identity Management & Verification,"Identity & Credentials,Verifiable Credentials",Decentralized marketplace for cross-industry interoperability,"Citopia is a federated Web3 marketplace leveraging VCs (or transactions) and Zero-Knowledge (ZK) cryptography to enable any entity to verify that another entity was present at a location, completed a trip, and performed relevant activities. Citopia VCs are machine-readable, privacy-preserving verifications for business automation in a zero trust ecosystem. These transaction verifications can be performed by any ecosystem stakeholders and do not rely on centralized certificate authorities."
Lowe's,Corporate,https://www.lowesinnovationlabs.com/projects/projectunlock,,Hardware,"Anti-Theft,NFTs","
","Project Unlock is an initiative by Lowe's Innovation Labs that aims to curb retail theft using low-cost RFID chips and scanners, and a novel use of blockchain technology"
Starbucks Odyssey,Corporate,,2022,Retail & E-Commerce,"NFTs,Loyalty,Collectables",Earn collectible ‘Journey Stamps’ (NFTs) and Odyssey Points,"Starbucks Odyssey is an extension of Starbucks Rewards, powered by Web3 technology, that unlocks access to exciting new benefits and experiences for members. The experience allows members to participate in a series of entertaining, interactive activities called ‘Journeys”. Once a Journey is complete, members will earn collectible ‘Journey Stamps’ (NFTs) and Odyssey Points that will open access to new benefits and immersive coffee experiences that they cannot get anywhere else. "
"SAP Crypto
",Corporate,,2023,Payments,Financing & Credit,Enabling Business Payments,"Rather than using traditional payment rails, business partners agree on settling a cross-border transaction with USDC or EUROC, tokenized versions of the USD or Euro manifested in a blockchain as issued by Circle."
Toku,Startup,,,Payments,"Payment Solutions,Payroll","Token based payroll solution
","Simplifying Token Compensation & Tax Compliance
Token payroll, token grant administration, tax compliance, local employment, world-class benefits & distributed HR solutions. 
Everything you need to employ & compensate a global team in tokens, on one platform.
Providing peace of mind with 100% tax compliance on token compensation, globally"
Indicio,Startup,,2021,Identity Management & Verification,"Identity & Credentials,Decentralized identifiers",Digital Travel Credentials (DTC),Indicio specializes in developing open-source decentralized identity technology for global enterprises and the public sector.
Ribbon Finance (Aevo),Startup,,,DeFi,Structured Products,On-chain decentralized derivatives platform,"RE Just an exchange? 

Is a high-performance, order-book based decentralized exchange that comes with all the features necessary for a pro options trader. This includes a robust margining system, as well as hundreds of instruments to trade, including daily/weekly/monthly/quarterly options. All of this is built on a custom EVM rollup that was designed for scale, and rolls up to Ethereum for security.
Aevo aims to become the #1 venue to trade options on-chain."
Agur (Salsal),Startup,https://agur-ab416.web.app/,,Arts,"Anti-counterfeiting,NFTs",,"RE: Not Businessy 

Record your heritage object on the Blockchain"
Solv,Startup,https://solv.finance/,,"Trading,Capital Markets","RWAs,Asset Tokenization",On-chain Fund Platform,"Your On-chain Fund Platform
Earn smart yields on diverse assets within a security-first framework.
Decentralized Liquidity Infrastructure

SFT Labs provides crypto/Web3 companies and protocols of tomorrow with the full spectrum of resources, funding, and support to launch disruptive Web3 digital assets powered by ERC-3525 Semi-Fungible Token Standard. 
"
Klaytn by Kakao,Corporate,,,Infrastructure,"Blockchain,RWAs",Layer 1 public blockchain,"Klaytn is an open source public blockchain designed for tomorrow’s on-chain world.
"
ELYSIA,Startup,https://www.elysia.land/en,,Real Estate,"RWAs,Asset Tokenization","RWA tokenization project (real estate, accounts receivable)","Real world asset tokenization DAO.

ELYSIA is a protocol that provides an easy and convenient way to tokenize traditional real-world assets for use with their ELYFI DeFi service, which offers various RWA-based synthesized products including Real Estate Mortgage Bonds, E-commerce Accounts Receivables, and Real Estate Project Financing. [1]"
Lucidao (Altr),Startup,https://lucidao.com/#/,2021,Retail & E-Commerce,"Marketplace,NFTs,RWAs,Luxury",Trade of luxury collectibles,"Altr is the first fully decentralized marketplace protocol to allow the trade of luxury collectibles. Altr will allow the purchase of physical luxury goods by using stable coins on Polygon Network. Our strategy is to provide luxury collectible watches, cars, wines and rare art. These traded goods will be offered by sellers (Oracles) on the platform, certified by the Lucidao community through its governance. Altr will work as a tech enabler by connecting the Platform Users, Oracles and authenticating the transactions."
LegitDoc,Startup,https://legitdoc.com/,,Identity Management & Verification,"Identity & Credentials,Verifiable Credentials","tamper-proof digital
credential managemen","LegitDoc is a scalable, API-first platform for enterprises and governments to issue and verify tamper-proof credentials on blockchain."
Airchains,Startup,,,Infrastructure,"BaaS,Provenance,NFTs,Decentralized identifiers",,"RE - Don't think is too relevant, blockexporer in footer doesnt work 

Web3 middleware SaaS platform that empowers you to rapidly deploy tailor-made blockchains, rollups, and block explorers with just a few clicks. Designed for developers, enterprises, and institutions, our platform streamlines the creation and management of unique blockchain networks & helps you unleash the potential of dApps."
BlockInvest,Startup,,,Capital Markets,"Tokenized bonds,Asset Tokenization,RWAs",Compliant and secure institutional assets,"Tokenize Real-World Assets with BlockInvest
Allows to digitize and tokenize real world assets on blockchain. In order to make them liquid and accessible to qualified investors."
Progmat,Consortium,https://progmat.co.jp/index.html,2022,Capital Markets,"Stablecoins,Asset Tokenization",Platform for tokenizing securities,Progmat Coin is a stablecoin issuance platform developed by Mitsubishi UFJ Financial Group (MUFG) that enables Japanese banks to issue and maintain stablecoins.
Switzerland’s southern city of Lugano,Government,https://planb.lugano.ch/,,Payments,"Payment Solutions,Stablecoins",Leveraging Bitcoin and blockchain for a city,"Lugano’s Plan ₿ is a joint initiative between the City of Lugano and Tether to accelerate the use of and leverage bitcoin technology as the foundation to transform the city’s financial infrastructure.
 
The plan will scale blockchain and Bitcoin throughout the city to positively impact all facets of daily life for the residents of Lugano. From small transactions with local merchants to larger efforts – such as paying annual taxes – blockchain will serve as the foundation for the city’s financial exchanges."
Etihad Airways (United Arab Emirates),Corporate,https://www.etihad.com/en/campaigns/zero1,2022,Identity Management & Verification,"NFTs,Collectables,Loyalty,Aerospace",NFT collectible airline loyalty program,"First time owners of an EY-ZERO1 NFT will unlock immediate Etihad Guest Silver status that includes exclusive lounge access at Abu Dhabi International Airport, priority check-in and bonus miles when flying Etihad. As well, a select few holders will be awarded free tickets to travel from anywhere in the world to Abu Dhabi. [2]
"
Tectrex,Startup,,2020,Real Estate,"Marketplace,RWAs,Asset Tokenization","Tokenized real estate trading
","tectrex tokenizes real estate and generates a fungible and regulated security that can be traded digitally. the three cornerstones of the tectrex service are the product, the marketplace, and the structuring and distribution coordination:"
BLR Airport,Corporate,,2022,Media,"Aerospace,NFTs",Virtual Airport,"RE: Need to think where to put this as a '3D emmersive experince'

The BLR Metaport utilizes the Polygon network to connect users with Bengaluru airport in an immersive, 3D virtual experience."
DraftKings,Startup,,,Gaming,"Collectables,NFTs,Marketplace",,"RE: Gambiling... meh

The world's leading Daily Fantasy Sports brand [1]
"
Acentrik,Corporate,https://acentrik.io/,2022,Data & Analytics,"Healthcare Data,Marketplace,Data Sharing",Decentralized Data Marketplace: Polygon Infrastructure.,"""A strategic initiative by Mercedes-Benz, Acentrik, an enterprise-grade data exchange solution brings real-world use cases globally and across industries by leveraging the benefits of blockchain technology."" [1]

""Acentrik is pioneering real-world solutions with its enterprise-grade data exchange solution, offering solutions tailored to unique ecosystem needs.
Tackling data silos across industries, Acentrik is enabling greater data sharing & paving the way for private data utilization."" [2]"
OpenZeppelin,SME,,,Cybersecurity,"Auditing,Privacy & Security Solutions","Securely Code, Deploy and Operate","The standard for secure blockchain applications
OpenZeppelin provides security products to build, automate, and operate decentralized applications. We also protect leading organizations by performing security audits on their systems and products. [1]"
Metis,Startup,,2021,Infrastructure,Scaling Solution,"Optimistic
rollup Layer 2 solution","Powering dApps, Businesses, and Communities with Decentralization by scaling Ethereum to what it’s meant to be. Boundless. [1]
"
"BSOS
",Startup,https://www.bsos.co,2018,Trade Finance,Financing & Credit,"Financing Solution
for Every Corporation","Usher in supply chain FinTech - Liberate asset liquidity by
embedded blockchain and DeFi for every business."
MIT Digital Currency Initiative (MIT DCI),Corporate,https://dci.mit.edu/parsec,,"Research & Development,Infrastructure,DeFi","CBDCs,Blockchain Development Services,Asset Tokenization,Securities,Exchanges & Trading",,"""This week MIT’s Digital Currency Initiative (MIT DCI) released the source code of research into smart contracts for central bank digital currency (CBDC) – PArSEC (Parallelized Architecture for Scalably Executing smart Contracts). Given the solution is designed for central banks, it is a centralized offering and sidesteps using blockchain, although it supports Ethereum smart contracts."" [1]

parsec: executing smart contracts in parallel. Parallelized Architecture for Scalably Executing smart Contracts (PArSEC) [2]
"
Fireblocks,Startup,,2018,Custody,"Asset Tokenization,Custody",Securing digital assets,Fireblocks provides a suite of applications to manage digital asset operations and a complete development platform to build your business on the blockchain. [1]
Tel Aviv Stock Exchange (TASE),Corporate,,,Trading,Exchanges & Trading,institutional-grade digital asset solutions,"The agreement will advance TASE's activity in the field and leverage digital asset opportunities. 
For the first time in Israel, digital asset services and products will be launched by a regulated financial market infrastructure operator with relevant experience [2]"
Archax,Startup,,,Trading,"Exchanges & Trading,Securities,Custody",Regulated global exchange empowering institutions.,"A global, regulated digital asset exchange, broker and custodian [3]"
Matrixdock (Matrixport),Startup,,,Capital Markets,"Asset Tokenization,RWAs",Real-World Assets On-Chain,a digital assets platform that provides access to real-world assets through tokenisation [1]
trustwise.io ag,Startup,,2017,"Infrastructure,Consultancy & Advisory","CBDCs,Asset Tokenization,Consultancy","Blockchain solutions for enterprises
","Enterprise Blockchain Solutions Reduce your contract fulfilment cost with blockchain technology. Areas of Application: Corporate Finance & Corporate Governance, Certificates & Permissions, Payment Instruments including CBDC, Insurances. 

Trustwise is providing economically viable blockchain solutions that decrease international business transaction cost. With TWEX®, we envision corporations to perform all corporate actions on the blockchain. [1]"
Blockchain Innovation Group AG,Startup,,,"Consultancy & Advisory,Education",Consultancy,,"RE - Not really relevant 

We provide you access to the world of blockchain & distributed ledger technology [1]
"
TestMachine,Startup,,,Cybersecurity,"Privacy & Security Solutions,Auditing,Consultancy",AI Powered Blockchain Security,"TestMachine is an AI platform designed to help developers and projects identify and fix vulnerabilities in smart contracts at lightning speed.
It provides immediate access to a suite of industry-standard tools for smart contract compilation, optimization, testing, and real-time security analysis, with instant report... We aim to protect users from hacks using artificial intelligence. Our goal is to establish a safe blockchain ecosystem for businesses and developers.[1]"
North Dakota (Open Credential Publisher),Government,,,Education,"Identity & Credentials,Verifiable Credentials,Identity & Verification,Identity Management & Verification,Decentralized identifiers",,"RE: Not sure if EVM

Student credentials on the blockchain: North Dakota opts in for digital wallets
Students in North Dakota can utilize digital wallets, powered by blockchain, to share diplomas, transcripts and completed coursework [1]"
University of Johannesburg (UJ),Foundation,,,Education,"Decentralized identifiers,Identity & Credentials,Identity & Verification,Identity Management & Verification,Verifiable Credentials",,RE - need to find which blockchain
The British Museum,Startup,https://www.lacollection.io/,,Arts,NFTs,art institutions meeting collectors,"The British Museum Will Enter the Metaverse via 'The Sandbox'
The cultural institution plans to establish an interactive space within the Ethereum-based world, as well as offer up NFT collectibles. [1]

In addition to creating non-fungible token (NFT) digital collectibles, this partnership aims to replicate the extensive collections of the British Museum, providing immersive and novel experiences for The Sandbox players worldwide. [2]"
Sygnum (Switzerland),Startup,,2018,"Capital Markets,Trading","Asset Tokenization,Custody,Exchanges & Trading","Regulated Swiss Crypto bank
","Welcome to the world’s first digital asset bank, founded on Swiss and Singapore heritage. Our mission is to empower everyone, everywhere, to own crypto with complete trust. Onboard with Sygnum today to buy, trade and earn crypto to future-proof your investment strategy."
Pantos,Startup,https://pantos.io/en,,Infrastructure,"Asset Tokenization,Blockchain Development Services",Multi-Blockchain Token System,"Allows existing and upcoming tokens to be deployed on multiple blockchain networks, giving users the freedom to choose the most suitable blockchain network for their digital assets
"
Base,Corporate,https://base.org,2023,Infrastructure,Scaling Solution,L2 from Coinbase,"Base is a secure, low-cost, builder-friendly Ethereum L2 built to bring the next billion users onchain. It uses OP Stack"
Ankr,Startup,https://www.ankr.com/enterprise/,2017,Infrastructure,"Blockchain Development Services,Staking",Web3 infrastructure,"The fastest, most reliable Web3 infrastructure. 
Ankr AppChains.
Plug and play tools to build your own blockchain.
Launch your own blockchain and list your token 10x faster with Ankr’s AppChains.[1]"
Aria (Dcentric Health Ltd.),Startup,https://www.myaria.health/,,HealthTech,Healthcare Data,Direct access to citizen consented real world health data [1],Aria is creating a collaborative ecosystem where health data can be freely and transparently shared to support better healthcare delivery and expedite superior medical innovations. We democratise the availability of data and the fair distribution of financial rewards. [1]
Flashbots,Startup,,,Infrastructure,Scaling Solution,Ethereum software infrastructure provider & MEV solutions,Not relevant?
Ledger Works (LWorks),Startup,,,"Cybersecurity,Privacy & Security","Privacy & Security Solutions,Consultancy",,"RE: Not business? 

Protect DeFi protocols with LWorks real-time market surveillance
Integrated cyber, operational and financial risk management • Real-time computational rules • Continuous execution of deterministic and simulation models [1]"
Connext,Startup,,,Infrastructure,Scaling Solution,Build Any Kind of Crosschain App [2],"Re - Not enterprise 

The HTTP of Web3
Build Web3 applications that can securely interact with users, tokens, and other applications on any chain - just like on the web...Connext inherits its security from the canonical bridges themselves to secure data and transactions across chains. [2]

Chain Abstraction allows users to seamlessly interact with your dApp from any chain using any token, without ever leaving your UI [3]"
Arbitrum Nova,Startup,,,Infrastructure,Scaling Solution,"Nova: High security, ultra-low transaction costs.",Ultra-low transaction costs with high security. Nova powers dapps with high transaction volumes that seek to drive costs even lower...Nova enables ultra-low transaction fees through a new security model that relies on a Data Availability Committee (DAC). [2]
Neptune Mutual,,,,,,,Re - not enterprise
Clear Factor,Startup,,,Infrastructure,Invoice Factoring,,
ConsenSys (MESH),Startup,https://www.mesh.xyz/,2015,Infrastructure,"Financing & Credit,Scaling Solution",Blockchain software company,"ConsenSys Mesh is an incubator, accelerator and investor of web3 technologies...

Founded in 2015 by Ethereum co-founder Joseph Lubin, MESH has four core components: investment, incubation, research & development, and acceleration.
We support a 5,000+ network of founders and builders and we are proud to count Gitcoin, ConsenSys, Gnosis, Starkware and Tribute Labs among our community, in addition to the 90+ projects we've guided through Tachyon, our 12-week accelerator program. [1]"
Metro Ethernet Forum (MEF) (Project Wolf Town),Startup,https://www.mef.net/poc/wolf-town/,,"Infrastructure,Telecom",SLA Credit Reporting,,"SLA REPORT AUTOMATION
Service providers automating the generation of accurate and trusted SLA credit reports using smart contracts...

This project has developed a open reference smart contract to automate the generation of monthly SLA credit reports to free up valuable telecom staff currently tasked with preparing reports manually. The smart contract is available to MEF members.

The smart contract takes trouble ticket status inputs from the Seller and Buyer, as well as scheduled maintenance and force majeure data from the Seller. It then calculates the SLA credits owed to the Buyer according to the SLA in the Master Service Agreement (MSA). [1]"
European Investment Bank (EIB),Government,,,Capital Markets,"Tokenized bonds,Exchanges & Trading",,"RE: Already in dataset, but worth a deeper look
"
Sage Management,Corporate,https://www.mef.net/accelerator/wolf-town/,2021,Telecom,SLA Credit Reporting,Use Blockchain to Optimize Carrier Performance,"Project Wolf Town, an initiative led by MEF, Orchest Technologies, Sparkle, and Sage Management, automates SLA credit calculations and enforcement in a public telecom blockchain. It employs open-source smart contracts that work with MEF LSO APIs to streamline the traditionally cumbersome SLA process for both buyers and sellers. By ensuring accurate and timely SLA credits, the project motivates network improvements and eliminates disputes. Initial successes have garnered industry-wide interest, setting the stage for its global debut at the upcoming Global NaaS Event. The project promises to improve SLA management drastically, increasing efficiency and trust across the telecom sector."
Zoth,Startup,,,Trading,"Fixed Income Products,Lending,Asset Tokenization,RWAs,Financing & Credit,Invoice Factoring",Earn yield on Stables for businesses,"Earn More Returns
On Your Stablecoins
Earn upto 15% APY on secured,

insured fixed income products

Open for Institutions & Accredited Investors...

Zoth is a decentralized marketplace which brings fixed income opportunities, offering high yield on stablecoins.

Our Lending Platform enables businesses in emerging markets to access vital capital for their growth and expansion needs.

The Zoth ecosystem acts as a bridge between lenders and businesses looking for new age capital. [1]"
OpenTrade,Startup,,2023,DeFi,"RWAs,Structured Products",Bringing real yields to DeFi [1],"We provide Web3 treasurers & institutions access to on-chain structured financial products backed by investment grade financial assets. 
[1]"
Lendvest,Startup,,,"DeFi,Infrastructure","Scaling Solution,Auditing","A decentralized credit score framework purpose-built for DeFi protocols. [1]

Lendvest is a platform powering data for the emerging credit system in DeFi. [2]","RE: Not enterprise

Lendvest is a platform that's powering data for the emerging credit system in DeFi

Currently, there is no established credit score that provides material benefits to crypto users.

Lendvest is aggregating on-chain data to create decentralized data feeds to form a verifiable credit score for DeFi protocols.

Lendvest helps to disincentivize liquidations and grow a sustainable borrowing base for DeFi protocols. [2]"
Metropolis,Startup,,,,,Visualize your smart contracts,"Preview.
Verify.
Share.
Take the uncertainty out of smart contract deployments. Build confidence from the command line. [2]"
FC Barcelona,SME,,,,,Ethereum-based fan tokens (BAR),"RE: Seems like a lot of hype, focus on: Plastiks project 

web3 entity Barça Vision 
arça Media is an umbrella group that does not include the lucrative TV sports rights. It incorporates three parts:
- Barça eSports 
- Barça Vision, the web3 and metaverse division, including deals with Roblox and Unity
- Barça Studios, which develops and licenses audiovisual entertainment content other than sports TV rights, such as a Netflix behind the scenes TV series.
[1]"
Blockchain Research Institute (BRI),Foundation,,,,,,
British Blockchain Association (BBA),Consortium,,,,,,
Cryptio,Startup,https://cryptio.co,,Data & Analytics,Accounting,Enterprise-grade accounting,"Enterprise-grade accounting, audit and tax software for your digital assets.

Integrations with chains, DeFi, exchanges, and enterprise custody solutions
Track all your assets and transactions from DeFi protocols, wallets, exchanges, and institutional custodians to construct a complete picture of your digital asset activity ― without the hassle."
Ethereum Foundation (EF),Foundation,,,,,,
LACNet (Latin America),,,,,,,RE: Seems to be a fork of eth. Maybe event BESU Figure 4 here mentions BESU: https://lacnet.com/gas-distribution-solution/
Nomura,,,,,,,
"Shell / gitcoin
",Corporate,,,EnergyTech,Funding,,"""Public goods in the form of open-source software for climate solutions are a key factor in enabling this collaboration. "" [1]"
